Año de presentación;Expediente No. (Sigla completa del sistema de la Corte);Carátula;Fecha de la Resolución;Cita de Fallos;Tipo de Actor 1;Actor 2 (si hubiera más de un tipo);Actor 3 (si hubiera más de dos tipos);Vecinos de otra provincia;La Corte utiliza la causal de vecindad;Tipo de Demandado 1;Tipo de Demandado 2 (si hubiera más de un tipo);Tipo de Demandado 3 (si hubiera más de dos tipo);Tipo de demandado 4;Cantidad de Provincias que  originalmente integran la litis;Citación de terceros ;Cantidad de provincias citadas como tercero por el tribunal;Tema;Recurso involucrado (nombrar el recurso);Posterga;Decision de la Corte;Argumento para sostener o rechazar la competencia originaria;Involucra recurso interjurisdiccional (según la Corte);Prueba del daño interjurisdiccional;Prueba presentada;Dicta cautelar;Convoca a Audiencia Pública;Conformación de Mayoría (solo respecto de la competencia);de quién es la disidencia/voto?;disidencia sobre total;Cantidad de jueces que votan (en cualquier sentido);Quienes no votan;Presidencia;Composición;Jurisprudencia citada por la Corte sobre interjurisdiccionalidad;Procurador;Involucra un recurso interjurisdiccional para el Procurador;Remisión al procurador (total o parcialmente);Secretaría de tramitación (al momento de determinar la competencia);Comentarios
2005;D. 1486. XLI. ORI;DESARROLLO DE PROYECTOS MINEROS S.A.(DEPROMIN SA) c/ MENDOZA, PROVINCIA DE s/ACCION DECLARATIVA DE INCONSTITUCIONALIDAD;13/10/2006;330:549;Empresa;NA;NA;Si;No;Estado Provincial;NA;NA;NA;1;Si;0;Areas protegidas provinciales;Área natural protegida en San Carlos de Mendoza;0;Rechaza;Derecho local. Distinta vecindad no aplica a expropiación.;No;NA;NA;No;No;Unanimidad;NA;NA;4;Zaffaroni, Lorenzetti, Maqueda;EP;EP7;"(citados por PGN): Fallos: 318:2551, 322:1514; 323:1854; 325:3070, 310:295 y 2841; 311:1470; 314:620 y 810; 318:2534 y 2551; 324:2069; 325:3070, Fallos: 324:2725 y 327:436 y ""Asociación Civil Ayo La Bomba y otro c/ Formosa, Provincia de y otro s/ acción de amparo"", del 11 de octubre de 2005, Fallos 308:2564, 291:232, Fallos: 319:2527; 321:2751; 322:617, 2023 y 2444, Fallos: 322:1470; 323:2380 y 3279)";incompetencia;No;Si;NA;"La PTN señala que la  causal de vecindad no habilita la instancia originaria cuando lo que se discute es la expropiación. ""Al respecto, es dable recordar que la Corte ha establecido en Fallos: 308:2564, sobre la base del precedente de Fallos: 291:232, que no corresponden a la instancia originaria del Tribunal los juicios que versan sobre expropiación seguidos por una provincia contra vecinos de otra, aun cuando se discuta solamente el quantum del resarcimiento (doctrina que fue mantenida en Fallos: 315:1241 y 317:221 y recientemente en Fallos: 324:2725 y 327:436 y sentencia in re A. 1032. XL, Originario ""Asociación Civil Ayo La Bomba y otro c/ Formosa, Provincia de y otro s/ acción de amparo"", del 11 de octubre de 2005)."" Otro argumento del PGN: la circunstancia de que se haya citado como tercero a juicio al Estado Nacional (Secretaría de Minería), en los términos del art. 90 del Código Procesal Civil y Comercial de la Nación, dado que a mi entender la actora no ha expuesto adecuadamente las razones por las que considera procedente o necesaria la intervención de aquél, ya que las circunstancias reseñadas no evidencian que en el caso esté en juego un interés nacional directo que justifique tal citación (Fallos: 318:2551)"
2005;A. 2517. XLI. ORI;ADMINISTRACION DE PARQUES NACIONALES c/ NEUQUEN, PROVINCIA DEL s/ACCION DECLARATIVA DE INCONSTITUCIONALIDAD (PESCA EN LA LAGUNA;14/11/2006;329:5160;Ente nacional/internacional;NA;NA;NA;NA;Estado Provincial;NA;NA;NA;1;No;0;Parques Nacionales;Parque Nacional Laguna Blanca y Parque Nacional Lanin;0;Acepta;Fuero federal por la persona y provincia.;NA;NA;NA;No;No;Unanimidad;NA;NA;7;NA;EP;EP7;Fallos: 312:389;competencia;NA;Si;ORI;Caso de establecimientos de utilidad nacional (parques nacionales). No esta publicado completo en la base de la Corte. Hay que buscarlo en el tomo para ver los votos de Lorenzetti y Fayt que sí decretan la cautelar solicitada. La única disidencia es sobre la cautelar.
2006;"A. 182. XLII. ORI
";ANTONIO BARILLARI S.A. c/ SANTA CRUZ, PROVINCIA DE s/ACCION DECLARATIVA DE INCONSTITUCIONALIDAD (TASA ANUAL POR RESIDUOS DE PESCADO - RESIDUO S PELIGROSOS);12/12/2006;No tiene;Empresa;NA;NA;No dice;No;Estado Provincial;NA;NA;NA;1;No;0;Poder de Policía;NA;0;Rechaza;Derecho local;No;NA;NA;No;No;Unanimidad;NA;NA;5;Lorenzetti y Zaffaroni;EP;EP7;NA;incompetencia;No;Si;ORI;"PGN sostiene que ""dado que el art. 117 de la Constitución Nacional establece de modo taxativo los casos en que la Corte ejercerá su competencia originaria y exclusiva, la cual, por su raigambre, es insusceptible de extenderse a otros casos no previstos (Fallos: 322:1514; 323:1854; 325:3070)"". Agrega que ""quedan excluidos de dicha instancia aquellos procesos en los que se debatan cuestiones de índole local que traigan aparejada la necesidad de hacer mérito de éstas o que requieran para su solución la aplicación de normas de esa naturaleza o el examen o la revisión en sentido estricto de actos administrativos de las autoridades provinciales, legislativos o judiciales de carácter local (Fallos: 319:2527; 321:2751; 322:617, 2023 y 2444). A mi modo de ver, la última hipótesis de las indicadas es la que se presenta en el sub lite, pues, según se desprende de los términos de la demanda, la actora pretende impugnar el Régimen de Tratamiento de Residuos Peligrosos establecido por el Gobierno de la Provincia de Santa Cruz en ejercicio de las facultades reservadas por los arts. 121 y 122 de la Constitución Nacional, no delegadas al gobierno federal, pues el asunto está relacionado con el poder de policía ambiental y, por ende, no postula de modo exclusivo una materia federal sino concurrente con el derecho público local"". Además, ""a mi juicio, en el sub examine no se advierte la configuración de alguno de los supuestos que permitan la aplicación de la ley 24.051, pues no se han probado que concurran dichas circunstancias, sino que se cuestiona la potestad de la Provincia de calificar como ""residuos peligrosos"" los que se generan en la actividad de procesamiento de pescado que efectúa la actora en jurisdicción provincial""."
2004;C. 3162. XL. ORI;COIHUE S.R.L. c/ SANTA CRUZ, PROVINCIA DE s/ACCION DECLARATIVA DE INCONSTITUCIONALIDAD Y DAÑOS Y PERJUICIOS;20/3/2007;330:1103;Empresa;NA;NA;No dice;No;Estado Provincial;NA;NA;NA;1;No;0;Areas protegidas provinciales;Parque Provincial Península de Magallanes;0;Acepta;Fuero federal por la materia y provincia.;No dice;NA;NA;No;No;Unanimidad;NA;NA;4;Argibay, Lorenzetti y Zaffaroni;RL;RL1;NA;competencia;No;No;ORI;Igual que en Apen Aike. En el voto de Rosenkrantz de la sentencia que resuelve el fondo parece señalar que él no está de acuerdo con la competencia originaria, pero dado que la provincia no lo cuestionó, pasa.
2006;C. 1431. XLII. COM;CYG s/ACCION DE AMPARO Y MEDIDA CAUTELAR;14/8/2007;No tiene;Empresa;NA;NA;No;No;Estado Nacional;Estado Provincial;NA;NA;1;No;0;Fauna;Fauna iticola de los ríos Paraná y Paraguay.;0;Rechaza;Derecho local. Ente nacional no es parte sustancial;No;No;NA;No;No;Unanimidad;NA;NA;4;Argibay, Maqueda y Zaffaroni;RL;RL1;"Causa A.1977.XLI. ""Asociación Civil para la Defensa y Promoción del Cuidado del Medio Ambiente y Calidad de Vida c/ San Luis, Provincia de y otros s/ amparo""";incompetencia;No;Si;SEC1, SEC5;"La CSJN  cita el fallo ""Mendoza, Beatriz Silvia y otros c/ Estado Nacional y otros s/ daños y perjuicios (daños derivados de la contaminación ambiental del río Matanza - Riachuelo)"" para sostener que no corresponde el  litisconsorcio con el Estado Nacional y el Estado Provincial. PGN sostiene que es fundamental que los sujetos ""tengan en el pleito un interés directo, de manera tal que la sentencia que se dicte les resulte obligatoria, ya que lo contrario importaría dejar librado al resorte de los litigantes la determinación de la competencia originaria de la Corte (Fallos: 322:190; 323:2982; 328: 1257) la cual, por ser de raigambre constitucional, es taxativa e insusceptible de extenderse a otros casos no previstos (Fallos: 308:2356; 315:1892; 328:1257). También sostiene que el Estado Nacional no debería ser parte sustancial ya que la responsabilidad corresponde a deberes que tiene la Provincia. Asimismo, respecto al carácter interjurisdiccional, menciona el principio de estrictez con apoyo en los Fallos: 324: 1173 y . sentencia de V.E. del 4 de julio de 2006, in re, A. 1977, L. XLI, '""Asociación Civil para la Defensa y Promoción del Cuidado del Medio Ambiente y Calidad de Vida c/ San Luis, Provincia de y otros si amparo"". También, agrega que ""sin perjuicio de que tras una evaluación
científica -cuya seriedad será examinada por el juez correspondiente- pueda llegar a determinarse con suficiente verosimilitud el carácter interjurisdJ ccional de que se trata, es mi parecer que el planteo de la actxa tendiente a obtener que se adopten medidas de política ambiental debe ser ventilado, en las circunstancias actuales, ante la justicia provi:r~cial, en cuya sede los actos ti om isiones de autoridades provinciales serán ponderados por los jueces naturales a los efectos que la soberanía local ha querido darle (Fallos: 3j9:1407~ 322:617). Ello es así,
en tanto las provincias conservan por el pactum foederis competencü:s diversas que no han sido delegadas en el Gobierno Federal (arts. 121 y ss. de la Constitución Nacional, Fallos: 322: 190; 328: 1257)"" y ""Es que el respeto del sistema federal y de las autonomías provinciales exige que se reserve a los jueces locales el conocimiento y la decisión de las causas que, en lo sustancial, versan sobre aspectos propios de su derecho público, sin perjuicio, claro está, de que las cuestiones federales que también puedan comprender este tipo de procesos sean susceptibles c.e adecuada tutela por vía del recurso extraordinario (Fallos: 312:282 y 125'7; 314:94; 315: 1892; 328: 1257)."
2007;C. 648. XLIII. ORI;COMISION VECINAL PUERTO VERDE DE TRES DE FEBRERO c/ BUENOS AIRES, PROVINCIA DE Y OTROS s/AMPARO;12/9/2007;No tiene;ONG;NA;NA;No;No;Estado Provincial;Estado Nacional;Municipio;Empresa;1;No;0;EIA;Predio Ex Talleres Alianza del Ferrocarril General san Martín;0;Rechaza;Derecho local. Ente nacional no es parte sustancial;No;NA;NA;No;No;Unanimidad;NA;NA;4;Argibay, Lorenzetti, Zaffaroni;RL;RL1;"(citados por PGN) M.1569, XL, Originario, ""Mendoza, Beatriz Silvia y otros c/ Estado Nacional y otros s/ daños y perjuicios""; L.XLI, Originario, ""Asociación Ecológica de Pesca, Caza y Náutica c/ Buenos Aires, Provincia de y otros s/ s/ daños y perjuicios"", del 21 de junio de 2007; Antonio Barillari S.A. c/ Santa Cruz, Provincia de s/ acción declarativa de inconstitucionalidad"", sentencia del 29 de septiembre del 2006)
Fallos: 322:190; 323:2982; 326:1530
Fallos: 306:1056; 308:1239 y 2230
Fallos: 318:992; 323:3859, 32:120";incompetencia;No;Si;ORI;Demandado 4: empresa 
2006;A. 40. XLII. ORI;ASSUPA c/ SAN JUAN, PROVINCIA DE Y OTROS s/DAÑOS Y PERJUICIOS (DAÑO AMBIENTAL);25/9/2007;330:4234;ONG;NA;NA;Si;No;Estado Provincial;Empresa;NA;NA;1;No;0;Minería e Hidrocarburos;Reserva de Biósfera San Guillermo;0;Rechaza;Derecho local y ciudadano extranjero no aplica porque no hay causa civil.;No;Insuficiente;"resumen ejecutivo del ""Informe de impacto ambiental etapa de explotación - Proyecto Veladero""";No;No;Unanimidad;NA;NA;5;Zaffaroni, Lorenzetti;RL;RL1;"Fallos: 318:992, Fallos: 329:2469, Fallos: 324:1173, 32:120; 270:78; 271:145; 280:176; 285:209; 302:63, Fallos: 14:425; 322:2023, Fallos: 328:1231";competencia;No dice;No;ORI;La procuradora opina a favor de la competencia originaria por la citación de terceros, que luego la Corte rechaza.
2006;"C. 3510. XLII. ORI
";COMISION VECINAL PLAYAS DE QUEQUEN c/ BUENOS AIRES, PROVINCIA Y OTROS s/AMPARO (DAÑO AMBIENTAL);20/11/2007;330:4851;ONG;NA;NA;No;No;Estado Nacional;Estado Provincial;Ente provincial;Empresa;1;No;0;Agroquimicos;NA;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No dice;NA;NA;No;No;Unanimidad;NA;NA;4;Fayt, Lorenzetti y Zaffaroni;RL;RL1;;incompetencia;No dice;Si;ORI;El consorcio del puerto de quequén es un ente de derecho público no estatal de la provincia.
2007;"R. 397. XLIII. ORI
";ROMERO, MARTA ESTELA c/ CORPORACION DEL MERCADO CENTRAL DE BUENOS AIRES s/DAÑO AMBIENTAL;27/11/2007;No tiene;Persona Física;NA;NA;No;No;Ente nacional/internacional;NA;NA;NA;0;No;0;Residuos;Predio en La Matanza;0;Rechaza;Sujeto no aforado;No dice;NA;NA;No;No;Unanimidad;NA;NA;4;Zaffaroni, Highton y Argibay;RL;RL1;"(citados por PGN) Fallos: 310:1420 y sentencia in re Competencia N1 ?1122. XLII. ""Compañía de Seguros La Mercantil Andina S.A. c/Corporación del Mercado Central de Buenos Aires y otro s/ cobro de sumas de dinero, del 27 de marzo de 2007)";incompetencia;No dice;Si;ORI;
2006;A. 1722. XLII. ORI;ASOCIACIÓN ARGENTINA DE ABOGADOS AMBIENTALISTAS C/ BUENOS AIRES, PROVINCIA DE Y OTROS s/ medida cautelar;8/4/2008;331:699;ONG;NA;NA;No dice;No;Estado Nacional;Estado Provincial;NA;NA;1;No;0;Aguas;cuenca del Río Reconquista ;0;Rechaza;Derecho local. No hay interjurisdiccionalidad del daño.;No;Insuficiente;"ues alega una continua comunicación, confusión y desembocadura del Río Reconquista sobre el Río de la Plata, cuya jurisdicción le corresponde al Estado Nacional.
Por otro lado, afirma en tal sentido que la juris- dicción de la Nación surge de la existencia de la pista na- cional de remo, creada por la ley 20.009 en el ya mencionado canal aliviador, y en la actividad desarrollada por la Pre- fectura Naval Argentina y las Oficinas de Migraciones, con jurisdicción exclusiva y excluyente sobre el tránsito de per- sonas que se trasladan desde Tigre hacia la República Oriental del Uruguay.";No;No;Unanimidad;NA;NA;5;Highton y Zaffaroni;RL;RL1;;incompetencia;No;No;ORI;Toda la extensión de la cuenca del Río Reconquista cuya recomposición se pretende, está ubicada en la Provincia de Buenos Aires, y que la contaminación denunciada, atribuida a vuelcos orgánicos e inorgánicos, industriales y domiciliarios, de la zona que recorre su cauce, también encontraría su origen en territorio de ese Estado provincial.
2006;P. 1262. XLII. ORI;Pla, Hugo Alfredo y otros c/ Chubut, Provincia del y otros s/ amparo;13/5/2008;331:1243;Persona Física;NA;NA;si;No;Estado Nacional;Estado Provincial;NA;NA;2;si;0;Aguas;Cuenca internacional del Río Puelo. Parque Nacional. Reserva de la biosfera;0;Acepta;Fuero federal por la materia y provincia.;Si;Si;Refiere a la ubicación de la cuenca (cons. 6°) y al informe del INA, reproducido en la nota periodística, adjuntada como prueba documental 40. ;No;No;Unanimidad;NA;NA;5;Argibay y Zaffaroni;RL;RL1;"Causa M.1569.XL ""Mendoza"", C.1732.XL ""Confederación General del Trabajo CC.G.T.C Consejo Directivo de la C.G.T. Regional Santiago del Estero c/ Tucumán, Provincia de y Estado Nacional s/ amparo"", sentencia del 20 de septiembre de 2005 (Fallos: 328:3480); arg. causas A. 1977.XLI ""Asociación Civil para la Defensa y Promoción del Cuidado del Medio Ambiente y Calidad de Vida c/ San Luis, Provincia de y otros s/ amparo"", sentencia del 4 de julio de 2006 (Fallos: 329:2469); A.40.XLII ""ASSUPA c/ San Juan, Provincia de y otros s/ daños y perjuicios"", sentencia del 25 de
septiembre de 2007; A.1722.XLII ""Asociación Argentina de Abogados Ambientalistas c/ Buenos Aires, Provincia de y otros s/ acción de recomposición y saneamiento del río Reconquista"",
sentencia del 8 de abril de 2008; Fallos: 318:992; Fallos: 270:69; 312:2103, entre muchos otros y arg. A.1274.XXXIX ""Asociación de Superficiarios de la Patagonia c/ Y.P.F. S.A. y otros s/ daño
ambiental"", pronunciamiento del 13 de julio de 2004 (Fallos: 327:2967); arg. causa S.472.XLI ""San Luis, Provincia de c/ Consejo Vial Federal s/ amparo"", pronunciamiento del 27 de marzo de 2007 (Fallos: 330:1279).";competencia;Si;No;ORI;La demanda se interpuso originalmente ante el Juzgado Federal de Primera Instancia de San Carlos de Bariloche, pero se declaró incompetente por haber dos provincias demandas y concurrir el EN. Se cita como tercero al COFEMA
2006;A. 2117. XLII. ORI;Altube, Fernanda Beatriz y otros c/ Buenos Aires, Provincia de y otros s/ amparo;28/5/2008;331:1312;Persona Física;NA;NA;No dice;No;Estado Nacional;Estado Provincial;Municipio;NA;1;No;0;Aguas;Cuencas de los ríos Reconquista y de la Plata y del acuífero Puelche;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No;Insuficiente;No menciona pero refiere a la localización del factor degradante. Tiene en cuenta que toda la extensión de la cuenca del río Reconquista cuya recomposición se pretende, está ubicada en la Provincia de Buenos Aires, y que la contaminación denunciada, atribuida a distintas causas, también encontraría su origen en actos realizados en territorio de ese Estado provincial. Le parece que no es suficiente hablar de migración de los cursos de agua.;No;No;Unanimidad;NA;NA;6;Zaffaroni;RL;RL1;"Fallos: 312:640; 313:127 y 1062; 322:1514 - 329:2280 - 97:177; 183:160; 271:244 y sus citas - 240:210; 249:165; 259:343; 277:365; 291:232 y 292:625 - 318:992 - 141:271; 318:992 - 329:2469 - causa A.40.XLII ""ASSUPA c/ San Juan, Provincia de y otros s/ daños y perjuicios"" - 324:1137 - 32:120; 270:78; 271:145; 280:176; 285:209; 302:63";incompetencia;No;No;ORI;
2003;P. 834. XXXIX. ORI;PEZZA, MARIA FLORENCIA Y OTROS c/ CORDOBA, PROVINCIA DE Y OTROS s/DAÑOS Y PERJUICIOS;1/7/2008;No tiene;Persona Física;NA;NA;Si;No;Estado Provincial;Municipio;Ente nacional/internacional;NA;1;No;0;Aguas;Río San Antonio;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No dice;NA;NA;No;No;Unanimidad;NA;NA;4;Argibay, Lorenzetti y Zaffaroni;RL;RL1;NA;competencia;No dice;No;ORI;"PGN entiende que, por ser demandado el Instituto Nacional del Agua y la Provincia de Córdoba, la única forma de conciliar ambas prerrogativas jurisdiccionales es sustanciando la acción en esta instancia originaria (Fallos: 311:489 y 2725; 312:389 y 1875; 313:98 y 551; 317:746; 320:2567; 323:702 y 1110, entre otros)."
2006;A. 1629. XLII. ORI;ASOCIACION ECOLOGICA SOCIAL DE PESCA, CAZA Y NAUTICA c/ BUENOS AIRES, PROVINCIA DE Y OTROS s/DAÑOS Y PERJUICIOS (DAÑO AMBIENTAL);12/8/2008;331:1679;ONG;NA;NA;No;No;Estado Provincial;Empresa;Estado Nacional;Municipio;1;No;0;Aguas;Canales Este y Oeste del Partido de Ensenada, del Río Santiago y de la parte pertinente del Río de la Plata;0;Rechaza;Derecho local;No;No;NA;No;No;Unanimidad;NA;NA;4;Argibay, Lorenzetti y Zaffaroni;RL;RL1;"Fallos: 329:2316; Fallos:329:2469; Fallos: 324:1137";incompetencia;No dice;No;ORI;"CSJN considera principio de la estrictez en considerando 12.  No está probado el daño interjurisdiccional. El curso de agua y las empresas que contaminan están en la PBA. Asimismo, en el considerando 13 sostiene que ""la acumulación subjetiva de pretensiones que intenta efectuar la actora contra la Provincia de Buenos Aires y el Estado Nacional, resulta inadmisible a la luz de las razones expuestas en la causa M.1569.XL ""Mendoza, Beatriz Silvia y otros c/ Estado Nacional y otros s/ daños y perjuicios (daños derivados de la contaminación ambiental del río Matanza - Riachuelo)"". PGN remite fundamentos de A. 2117. XLII, Originario ""Altube, Fernanda f3eatriz y otros el Buenos Aires, Provincia de y otros siamparo""."
2007;"C. 1316. XLIII. COM
";CAPDEVILA FRANCISCO FERMIN Y OTRO c/ EN - SECRETARIA AMBIENTE Y DESARROLLO SUSTENTABLE Y OTROS s/DAÑOS Y PERJUICIOS;21/10/2008;No tiene;Persona Física;NA;NA;No;No;Estado Nacional;Ciudad Autónoma de Buenos Aires;Estado Provincial;Empresa;1;No;0;Daño individual;Polo petroquimico docksud.;0;Rechaza;Derecho local;No dice;NA;NA;No;No;Unanimidad;NA;NA;5;Argibay y Zaffaroni;RL;RL1;NA;incompetencia;No dice;Si;SEC5, SEC1;"Citan a ""Mendoza"" (Fallos: 329:2316) y ""Barreto"" (Fallos: 329:759) para sostener la incompetencia. PGN sostiene que ""la acumulación subjetiva de pretensiones que intentan efectuar los actores contra el Estado Nacional, la Provincia y la Ciudad Autónoma de Buenos Aires resulta inadmisible a la luz de las razones expuestas por V.E. en su sentencia del 20 de junio de 2006, in re M. 1569; XL, Originario ""Mendoza, Beatriz Silvia y otros el Estado Nacional y otros si daños y perjuicios"", toda vez queninguna de las partes que conforman el litisconsorcio pasivo resulta aforada en forma autónoma a esta instancia, no existiendo, en principio, razones que autoricen dicha acumulación"""
2007;V. 192. XLIII. ORI;VECINOS POR UN BRANDSEN ECOLOGICO SOC. CIVIL c/ BUENOS AIRES, PROVINCIA DE Y OTROS s/AMPARO LEY 16986;16/12/2008;331:2784;ONG;NA;NA;No dice;No;Estado Nacional;Estado Provincial;Municipio;Empresa Estatal;1;No;0;Residuos;Bahía Samborombón;0;Rechaza;Derecho local. Ente nacional no es parte sustancial;No;NA;NA;No;No;Unanimidad;NA;NA;4;Argibay, Lorenzetti y Zaffaroni;RL;RL1;"Fallos: 318:992, Fallos: 180:87; 255:256; 258:116; 259:343; 283:429; 311:2478; 312:606 y 992; 19:1407; 322:617; conf. causa A.1977.XLI AAsociación Civil para la Defensa y Promoción del Cuidado del Medio Ambiente y Calidad de Vida c/ San Luis, provincia de y otros s/ amparo, sentencia del 4 de julio de 2006, Fallos: 329:2469";incompetencia;No dice;No;ORI;Demandado 4: CEAMSE
2008;A. 1316. XLIV. ORI;ADMINISTRACION DE PARQUES NACIONALES c/ MISIONES, PROVINCIA DE s/ACCION DECLARATIVA DE INCONSTITUCIONALIDAD;29/12/2008;331:2907;Ente nacional/internacional;NA;NA;NA;NA;Estado Provincial;NA;NA;NA;1;No;0;Parques Nacionales;Parque Nacional Iguazu;0;Acepta;Fuero federal por la persona y provincia.;NA;NA;NA;Si;No;Unanimidad;NA;NA;7;NA;RL;RL1;NA;competencia;NA;Si;ORI;
2003;M. 391. XXXIX. ORI;MENDOZA, PROVINCIA DE c/ ESTADO NACIONAL s/ACCION DE INCONSTITUCIONALIDAD;26/3/2009;No tiene;Estado Provincial;Ente provincial;NA;NA;NA;Estado Nacional;NA;NA;NA;0;No;0;Aguas;Inconstitucionalidad de la ley de aguas;0;Acepta;Fuero federal por la persona y provincia.;NA;NA;NA;No;No;Unanimidad;NA;NA;7;NA;RL;RL1;NA;competencia;NA;No;ORI;Procurador desestimar in limine por falta de caso o controversia.
2008;S. 1144. XLIV. ORI;SALAS, DINO Y OTROS c/ SALTA, PROVINCIA DE Y ESTADO NACIONAL s/AMPARO;13/12/2012;334:1754;Persona Física;Pueblos Originarios;ONG;No;No;Estado Provincial;Estado Nacional;NA;NA;1;No;0;Bosques;bosques nativos situados en los departamentos de San Martín, Orán, Rivadavia y Santa Victoria de Salta;1;Rechaza;Derecho local. Ente nacional no es parte sustancial;No;No;NA;Si;Si;Unanimidad;NA;NA;5;Zaffaroni y Argibay;RL;RL1;"Fallos: 330:4234; Fallos: 318:992; Fallos: 329:2280; Fallos: 322:190; Fallos: 313:1681; 316:2705; Fallos: 312:2138";incompetencia;No;No;ORI;En este caso, la provincia demandada solicitó que se deje sin efecto la medida cautelar dictada por la CSJN, que disponía el cese de los desmontes. La Corte entendió que no se configura un supuesto de gravedad institucional que amerite la intervención en esta instancia y decidió postergar la decisión sobre la competencia del tribunal. 
2008;A. 1284. XLIV. ORI;AVILA, CLARA ROSA Y OTROS c/ NEUQUEN, PROVINCIA DEL Y OTROS s/AMPARO;28/8/2009;No tiene;Persona Física;NA;NA;No;No;Estado Provincial;Municipio;Empresa;NA;1;No;0;Antenas;Recomposición del medio ambiente dañado por la presunta contaminación radioeléctrica de antena satelital;0;Rechaza;Derecho local;No;NA;NA;No;No;Unanimidad;NA;NA;4;Argibay, Lorenzetti y Zaffaroni;RL;RL1;NA;incompetencia;No;Si;ORI;"PGN cita: dictamen de este Ministerio Público in re V.192, XLIII, Originario ""Vecinos por un Brandsen Ecológico Soc. Civil c/ Buenos
Aires, provincia de y otros s/ amparo ley 16.9862"", del 12 de septiembre de 2007, con sentencia de V.E. de conformidad del 16 de diciembre de 2008, respectivamente"
2007;M. 1312. XLIII.ORI;MEDINA RODRIGUEZ NIDIA ELENA Y OTRO c/ ESTADO NACIONAL Y OTROS s/ACCION DE AMPARO (AMBIENTAL);16/11/2009;No tiene;Persona Física;NA;NA;No;No;Estado Nacional;Estado Provincial;Municipio;NA;1;No;0;Aguas;"Cuencas de los arroyos ""Unamuno"" y ""Del Rey"" (Cuenca Matanza-Riachuelo)";0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No;No;Se mencionan constancias de autos pero no se identifican ni en la sentencia ni en el dictamen;No;No;Unanimidad;NA;NA;4;Argibay, Fayt y Zaffaroni;RL;RL1;"Fallos: 311:489; 318:992; conf. causa ""Verga, Ángela y otros c/ Tagsa S.A. y otros s/ daños y perjuicios"" CFallos: 329:2280C y causa ""Asociación Ecológica Social de Pesca, Caza y Náutica c/ Buenos Aires, Provincia de y otros s/ daños y perjuicios"" CFallos: 331:1679, (Fallos: 240:210; 249:165; 259:343; 277:365; 291:232 y 292:625), (Fallos: 318:992). Fallos: 318:992, considerando 7° y causa ""Verga, Ángela y otros c/ Tagsa S.A. y otros s/ daños y perjuicios"", Fallos: 329:2280). doctrina de Fallos: 329:2469, y causa ""ASSUPA c/ San Juan, Provincia de y otros s/ daño ambiental y daños y perjuicios"" CFallos: 330:4234C y sus cita. (considerando 16; Fallos: 329:2316). Fallos: 294:25; 305:2001; 307:852, y causa ""Asociación Ecológica Social de Pesca, Caza y Náutica c/ Buenos Aires, Provincia de y otros s/ daños y perjuicios"" (Fallos: 331:1679), (arg. Fallos: 180:87; 255:256; 258:116; 259:343; 283:429; 311:2478; 312: 606; 318:992; 319:1407; 322:617; conf. causa ""Asociación Civil para la Defensa y Promoción del Cuidado del Medio Ambiente y Calidad de Vida c/ San Luis, Provincia de y otros s/ amparo"", Fallos: 329:2469).
";competencia;No dice;No;ORI;Este fallo es interesante porque la Corte y la PGN dicen lo opuesto (para la Corte se dan los presupuesto de Mendoza para no admitir competencia, para PGN, no y por eso sugiere competencia)
2008;U. 84. XLIV. ;UNIVERSIDAD NACIONAL DE ROSARIO c/ ENTRE RIOS, PROVINCIA DE s/AMPARO (DAÑO AMBIENTAL);9/12/2009;No tiene;Ente nacional/internacional;NA;NA;Si;No;Estado Provincial;NA;NA;NA;1;No;0;Quemas;"Ecosistema del humedal del Alto Delta del Río Paraná
";0;Acepta;Fuero federal por la persona y provincia.;Si;NA;NA;No;No;Unanimidad;NA;NA;4;Argibay, Maqueda y Zaffaroni;RL;RL1;NA;competencia;Si;Si;ORI;"No entiendo por qué la Corte no lo dice pero es bastante obvio que hay daño interjurisdiccional. 

Se decidió que tramita acumulado con M. 853. XLIV. ORIGINARIO Municipalidad de Rosario c/ Entre Ríos, Provincia de y otro s/ amparo (daño ambiental). Acá la Corte no hace mucho esfuerzo en argumentar pero el dictamen de la PGN sí dice que es interjurisdiccional. "
2008;C. 1696. XLIV. ORI;Cataratas 2.000 S.R.L. c/ Misiones, Provincia de y otros s/ acción declarativa de certeza;23/3/2010;No tiene;Empresa;NA;NA;No dice;No;Estado Provincial;Estado Nacional;Ente nacional/internacional;NA;1;No;0;Parques Nacionales;Parque Nacional Iguazu;0;Acepta;Fuero federal por la persona y provincia.;No dice;No;NA;No;No;Unanimidad;NA;NA;4;Argibay, Lorenzetti y Zaffaroni;RL;RL1;NA;competencia;No dice;Si;ORI;
